time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
343,0.15018696,1392,1319,702,706,8.0999975,1.5235236,4119,144,28
344,0.11279578,1294,1233,804,772,8.299998,1.430049,4103,149,27
345,0.11215139,1260,1233,853,792,8.299998,1.4336376,4138,155,26
346,0.11992481,1272,1237,826,772,8.299998,1.4477701,4107,148,27
347,0.16364996,1378,1305,722,702,9.200002,1.6228616,4107,140,29
348,0.13404955,1504,1427,573,597,7.799997,1.6491563,4101,137,29
349,0.07639283,1572,1457,516,588,7.5999975,1.4436468,4133,146,28
350,0.042765707,1544,1488,511,567,6.699999,1.3238671,4110,150,27
351,0.038512725,1570,1493,506,568,7.799998,1.4068153,4137,152,27
352,0.017933795,1558,1486,494,557,6.0999985,1.3379222,4095,150,27
353,0.0066252234,1585,1481,494,565,6.9999986,1.2871739,4125,153,26
354,0.01197316,1585,1468,499,557,8.499998,1.3871238,4109,151,27
355,0.0070896195,1589,1477,501,552,6.799998,1.3666645,4119,148,27
356,0.012916924,1575,1489,497,559,7.399998,1.4408959,4120,144,28
357,0.012222895,1570,1489,491,572,7.199998,1.4763684,4122,142,29
358,0.014450794,1600,1477,486,578,7.6999974,1.3657546,4141,148,27
359,0.005065386,1573,1486,500,559,6.4999986,1.3781427,4118,147,28
360,0.010689548,1614,1474,496,556,7.2999988,1.4233555,4140,147,28
361,0.01025451,1588,1468,486,568,7.1999984,1.4271995,4110,144,28
362,0.015339144,1577,1485,499,556,6.7999988,1.4406829,4117,146,28
363,0.028551782,1593,1501,511,566,8.6,1.5245721,4171,143,29
